code,name,country_code,timezone
GUJ,Guaratinguetá Airport,BR,America/Sao_Paulo
GUL,Goulburn Airport,AU,Australia/Sydney
GUM,Antonio B. Won Pat International Airport,GU,Pacific/Guam
GUO,Jicalapa Airport,HN,America/Tegucigalpa
GUP,Gallup Municipal Airport,US,America/Denver
GUQ,Guanare Airport,VE,America/Caracas
GUR,Gurney Airport,PG,Pacific/Port_Moresby
GUS,Grissom Air Reserve Base,US,America/Indiana/Winamac
GUU,Grundarfjörður Airport,IS,Atlantic/Reykjavik
GUV,Mougulu Airport,PG,Pacific/Port_Moresby
GUW,Atyrau Airport,KZ,Asia/Oral
GUX,Guna Airport,IN,Asia/Kolkata
GUY,Guymon Municipal Airport,US,America/Denver
GUZ,Guarapari Airport,BR,America/Sao_Paulo
GVA,Geneva Cointrin International Airport,CH,Europe/Zurich
GVI,Green River Airport,PG,Pacific/Port_Moresby
GVL,Lee Gilmer Memorial Airport,US,America/Kentucky/Monticello
GVN,Sovetskaya Gavan (Maygatka) Airport,RU,Asia/Sakhalin
GVP,Greenvale Airport,AU,Australia/Brisbane
GVR,Coronel Altino Machado de Oliveira Airport,BR,America/Sao_Paulo
GVT,Majors Airport,US,America/Chicago
GVX,Gävle Sandviken Airport,SE,Europe/Stockholm
GWA,Gwa Airport,MM,Asia/Rangoon
GWD,Gwadar International Airport,PK,Asia/Karachi
GWE,Thornhill Air Base,ZW,Africa/Harare
GWL,Gwalior Airport,IN,Asia/Kolkata
GWO,Greenwood–Leflore Airport,US,America/Indiana/Vincennes
GWS,Glenwood Springs Municipal Airport,US,Africa/Maseru
GWT,Westerland Sylt Airport,DE,Europe/Berlin
GWV,Glendale Fokker Field,US,America/Detroit
GWY,Galway Airport,IE,Europe/Dublin
GXF,Seiyun Hadhramaut International Airport,YE,Asia/Aden
GXG,Negage Airport,AO,Africa/Luanda
GXH,Gannan Xiahe Airport,CN,Europe/London
GXQ,Teniente Vidal Airport,CL,America/Santiago
GXX,Yagoua Airport,CM,Africa/Douala
GXY,Greeley–Weld County Airport,US,America/Denver
GYA,Capitán de Av. Emilio Beltrán Airport,BO,America/Porto_Velho
GYD,Heydar Aliyev International Airport,AZ,Asia/Baku
GYE,José Joaquín de Olmedo International Airport,EC,America/Guayaquil
GYG,Magan Airport,RU,Asia/Yakutsk
GYI,Gisenyi Airport,RW,Africa/Kigali
GYL,Argyle Airport,AU,Australia/Perth
GYM,General José María Yáñez International Airport,MX,America/Hermosillo
GYN,Santa Genoveva Airport,BR,America/Sao_Paulo
GYP,Gympie Airport,AU,Australia/Brisbane
GYR,Phoenix Goodyear Airport,US,America/Phoenix
GYS,Guangyuan Airport,CN,Asia/Chongqing
GYU,Guyuan Liupanshan Airport,CN,Asia/Chongqing
GYY,Gary Chicago International Airport,US,America/Chicago
GZI,Ghazni Airport,AF,Asia/Kabul
GZO,Nusatupe Airport,SB,Pacific/Guadalcanal
GZP,Gazipaşa-Alanya Airport,TR,Asia/Nicosia
GZT,Gaziantep International Airport,TR,Europe/Istanbul
GZW,Qazvin Airport,IR,Asia/Tehran
HAA,Hasvik Airport,NO,Europe/Oslo
